ecosystem_id,ecosystem_name,local_health_market_name,state_code,state_name,region,n_zips,total_population,pct_65_plus,pct_rural,median_household_income,pct_hispanic_or_latino,pct_black_or_african_american,commercial_lives_share
4026,NY-ECO-026,New York LHM B,NY,New York,Northeast,73,372515,0.117,0.4607,85609,0.3205,0.1612,0.6831
4027,FL-ECO-027,Florida LHM C,FL,Florida,South,54,662318,0.1462,0.1806,99804,0.2255,0.3138,0.4147
4028,PA-ECO-028,Pennsylvania LHM D,PA,Pennsylvania,Northeast,51,945430,0.1736,0.2516,66106,0.4827,0.182,0.635
4029,IL-ECO-029,Illinois LHM E,IL,Illinois,Midwest,71,313172,0.1602,0.4859,76667,0.1938,0.0994,0.5845
4030,OH-ECO-030,Ohio LHM A,OH,Ohio,Midwest,29,799868,0.1415,0.5152,55541,0.408,0.0372,0.6691
4031,GA-ECO-031,Georgia LHM B,GA,Georgia,South,21,1032649,0.1658,0.182,40081,0.1497,0.2832,0.3266
4032,NC-ECO-032,North Carolina LHM C,NC,North Carolina,South,59,352428,0.1435,0.6544,59819,0.0462,0.2051,0.5508
4033,MI-ECO-033,Michigan LHM D,MI,Michigan,Midwest,93,233976,0.1892,0.1946,57142,0.1192,0.0549,0.5224
4034,NJ-ECO-034,New Jersey LHM E,NJ,New Jersey,Northeast,25,324396,0.1878,0.0849,76901,0.3915,0.0489,0.2763
4035,VA-ECO-035,Virginia LHM A,VA,Virginia,South,89,217569,0.1063,0.1353,51627,0.0566,0.1152,0.4683
4036,WA-ECO-036,Washington LHM B,WA,Washington,West,129,1351756,0.1339,0.1748,43015,0.3552,0.1079,0.4378
4037,AZ-ECO-037,Arizona LHM C,AZ,Arizona,West,73,815811,0.1949,0.0631,70638,0.3527,0.2684,0.2738
4038,MA-ECO-038,Massachusetts LHM D,MA,Massachusetts,Northeast,133,609872,0.1335,0.3888,72552,0.4388,0.1765,0.7769
4039,TN-ECO-039,Tennessee LHM E,TN,Tennessee,South,45,720999,0.1608,0.3473,74590,0.4692,0.513,0.5304
4040,IN-ECO-040,Indiana LHM A,IN,Indiana,Midwest,19,368464,0.1556,0.4169,100654,0.1897,0.055,0.6235
4041,MO-ECO-041,Missouri LHM B,MO,Missouri,Midwest,87,428013,0.1498,0.1623,66218,0.2758,0.2566,0.6071
4042,MD-ECO-042,Maryland LHM C,MD,Maryland,Northeast,133,1180086,0.1541,0.2124,52847,0.2783,0.3515,0.4893
4043,CO-ECO-043,Colorado LHM D,CO,Colorado,West,113,232376,0.2083,0.4894,50322,0.1444,0.2352,0.6897
4044,MN-ECO-044,Minnesota LHM E,MN,Minnesota,Midwest,46,947537,0.1363,0.5593,86299,0.0441,0.4249,0.5183
4045,WI-ECO-045,Wisconsin LHM A,WI,Wisconsin,Midwest,112,1012278,0.2048,0.2185,52227,0.6742,0.1838,0.4787
4046,OR-ECO-046,Oregon LHM B,OR,Oregon,West,38,1632967,0.1606,0.136,36758,0.2055,0.14,0.6081
4047,SC-ECO-047,South Carolina LHM C,SC,South Carolina,South,62,1180471,0.1833,0.3757,78658,0.4144,0.2165,0.6292
4048,CA-ECO-048,California LHM D,CA,California,West,108,627300,0.2228,0.1304,81747,0.1729,0.2311,0.4829
4049,TX-ECO-049,Texas LHM E,TX,Texas,South,26,545524,0.2495,0.5476,90469,0.1711,0.2568,0.3353
4050,NY-ECO-050,New York LHM A,NY,New York,Northeast,40,446680,0.132,0.3787,55967,0.215,0.1021,0.5721
4051,FL-ECO-051,Florida LHM B,FL,Florida,South,50,1334248,0.198,0.4494,73276,0.1403,0.6,0.3914
4052,PA-ECO-052,Pennsylvania LHM C,PA,Pennsylvania,Northeast,119,843597,0.1717,0.1831,71404,0.3507,0.1526,0.5086
4053,IL-ECO-053,Illinois LHM D,IL,Illinois,Midwest,82,237692,0.1829,0.381,69461,0.4677,0.1324,0.3587
4054,OH-ECO-054,Ohio LHM E,OH,Ohio,Midwest,30,469027,0.175,0.1244,45694,0.4333,0.1119,0.5532
4055,GA-ECO-055,Georgia LHM A,GA,Georgia,South,76,1462813,0.1889,0.2302,56847,0.0412,0.1542,0.6014
4056,NC-ECO-056,North Carolina LHM B,NC,North Carolina,South,62,226294,0.1205,0.2144,55767,0.0569,0.3024,0.6821
4057,MI-ECO-057,Michigan LHM C,MI,Michigan,Midwest,23,114301,0.1338,0.1157,64684,0.2082,0.1551,0.4671
4058,NJ-ECO-058,New Jersey LHM D,NJ,New Jersey,Northeast,24,308599,0.1286,0.2184,62093,0.5241,0.1879,0.6317
4059,VA-ECO-059,Virginia LHM E,VA,Virginia,South,88,688963,0.2313,0.1784,79007,0.2701,0.3389,0.5842
4060,WA-ECO-060,Washington LHM A,WA,Washington,West,45,667120,0.1626,0.1756,48016,0.3722,0.4975,0.6521
4061,AZ-ECO-061,Arizona LHM B,AZ,Arizona,West,80,519506,0.1866,0.1324,61872,0.0855,0.2752,0.5468
4062,MA-ECO-062,Massachusetts LHM C,MA,Massachusetts,Northeast,120,333373,0.1707,0.0436,55437,0.0463,0.2173,0.4842
4063,TN-ECO-063,Tennessee LHM D,TN,Tennessee,South,110,381320,0.2305,0.1584,50901,0.2371,0.0957,0.4729
4064,IN-ECO-064,Indiana LHM E,IN,Indiana,Midwest,23,339080,0.1463,0.3349,82010,0.1765,0.2009,0.6197
4065,MO-ECO-065,Missouri LHM A,MO,Missouri,Midwest,130,283210,0.08,0.536,53859,0.1515,0.1896,0.6428
4066,MD-ECO-066,Maryland LHM B,MD,Maryland,Northeast,107,387187,0.1797,0.2719,54724,0.1175,0.2487,0.6694
4067,CO-ECO-067,Colorado LHM C,CO,Colorado,West,70,649986,0.0814,0.4966,58679,0.322,0.6,0.587
4068,MN-ECO-068,Minnesota LHM D,MN,Minnesota,Midwest,115,363092,0.167,0.7558,38301,0.4106,0.1882,0.4962
4069,WI-ECO-069,Wisconsin LHM E,WI,Wisconsin,Midwest,133,425986,0.08,0.2236,76896,0.301,0.2946,0.6964
4070,OR-ECO-070,Oregon LHM A,OR,Oregon,West,96,943231,0.1297,0.3603,67294,0.3313,0.3381,0.6687
4071,SC-ECO-071,South Carolina LHM B,SC,South Carolina,South,120,250068,0.1652,0.2124,65455,0.4835,0.2126,0.493
4072,CA-ECO-072,California LHM C,CA,California,West,130,517049,0.2475,0.2587,58974,0.3878,0.2297,0.6073
4073,TX-ECO-073,Texas LHM D,TX,Texas,South,25,607180,0.1763,0.451,28000,0.184,0.0543,0.4667
4074,NY-ECO-074,New York LHM E,NY,New York,Northeast,103,585816,0.2395,0.1005,74838,0.1547,0.1327,0.6412
4075,FL-ECO-075,Florida LHM A,FL,Florida,South,88,379021,0.1199,0.0855,47927,0.3324,0.2774,0.4751
4076,PA-ECO-076,Pennsylvania LHM B,PA,Pennsylvania,Northeast,122,1375461,0.215,0.1457,40049,0.4213,0.1262,0.4491
4077,IL-ECO-077,Illinois LHM C,IL,Illinois,Midwest,76,169995,0.1798,0.4233,75254,0.0422,0.1762,0.3757
4078,OH-ECO-078,Ohio LHM D,OH,Ohio,Midwest,106,212641,0.1633,0.2675,83069,0.2066,0.0668,0.5975
4079,GA-ECO-079,Georgia LHM E,GA,Georgia,South,63,1569044,0.16,0.3793,80587,0.3452,0.2003,0.6322
