date_year_month,date_year_quarter,date_year,ecosystem_id,ecosystem_name,product_brand_id,product_brand_name,market_code,flag_competitor,data_provider_name,sale_channel_type,iqvia_sales_qty_eqv,iqvia_sales_tot_rx_count,iqvia_sales_new_rx_count,iqvia_sales_dollars
202306,2023Q2,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,114.851,114.851,16.452,234937.59
202307,2023Q3,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,121.313,121.313,31.006,248566.96
202308,2023Q3,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,121.809,121.809,30.358,249995.43
202309,2023Q3,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,123.1,123.1,36.437,253061.1
202310,2023Q4,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.476,109.476,20.944,225426.3
202311,2023Q4,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,106.877,106.877,19.17,220438.56
202312,2023Q4,2023,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,113.045,113.045,25.179,233543.61
202401,2024Q1,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,125.061,125.061,23.676,258795.75
202402,2024Q1,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,138.519,138.519,34.627,287117.96
202403,2024Q1,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,131.85,131.85,26.179,273746.13
202404,2024Q2,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,124.598,124.598,24.545,259116.85
202405,2024Q2,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,140.342,140.342,33.862,292341.55
202406,2024Q2,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,122.603,122.603,35.524,255812.05
202407,2024Q3,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,131.582,131.582,21.239,274998.85
202408,2024Q3,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,133.147,133.147,30.232,278729.29
202409,2024Q3,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,141.353,141.353,22.063,296396.76
202410,2024Q4,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,144.187,144.187,40.254,302839.21
202411,2024Q4,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,167.379,167.379,40.955,352130.27
202412,2024Q4,2024,4000,CA-ECO-000,5101,Retivue,OPH,N,IMS,NON-RETAIL,122.555,122.555,24.521,258256.31
202101,2021Q1,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,170.282,170.282,24.863,332048.95
202102,2021Q1,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,188.223,188.223,47.528,367641.22
202103,2021Q1,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,169.742,169.742,50.667,332090.42
202104,2021Q2,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,161.432,161.432,33.581,316355.49
202105,2021Q2,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,166.132,166.132,33.509,326102.09
202106,2021Q2,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,168.232,168.232,38.105,330771.32
202107,2021Q3,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,164.384,164.384,28.592,323739.09
202108,2021Q3,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,211.029,211.029,39.791,416288.57
202109,2021Q3,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,ims,NON-RETAIL,218.296,218.296,20.517,431333.37
202110,2021Q4,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,199.193,199.193,44.643,394237.71
202111,2021Q4,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,228.198,228.198,22.713,452390.66
202112,2021Q4,2021,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,209.284,209.284,36.962,415578.89
202201,2022Q1,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,221.353,221.353,51.721,440271.23
202202,2022Q1,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,191.954,191.954,35.296,382427.09
202203,2022Q1,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,182.142,182.142,53.95,363477.51
202204,2022Q2,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,204.912,204.912,51.798,409592.41
202205,2022Q2,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,184.313,184.313,44.809,369025.85
202206,2022Q2,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,181.363,181.363,43.583,363719.27
202207,2022Q3,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,185.522,185.522,27.439,372675.79
202208,2022Q3,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,164.044,164.044,40.714,330073.89
202209,2022Q3,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,201.434,201.434,39.529,405977.55
202210,2022Q4,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,198.293,198.293,37.93,400306.26
202211,2022Q4,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,208.986,208.986,53.727,422589.41
202212,2022Q4,2022,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,228.445,228.445,33.893,462700.84
202301,2023Q1,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,188.917,188.917,47.449,383270.89
202302,2023Q1,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,208.538,208.538,50.035,423776.56
202303,2023Q1,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,211.117,211.117,34.35,429725.49
202304,2023Q2,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,183.969,183.969,55.113,375084.04
202305,2023Q2,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,242.097,242.097,47.923,494414.31
202306,2023Q2,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,185.556,185.556,44.515,379570.76
202307,2023Q3,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,201.632,201.632,25.119,413137.84
202308,2023Q3,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,188.623,188.623,36.672,387121.12
202309,2023Q3,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,223.079,223.079,42.167,458592.54
202310,2023Q4,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,232.813,232.813,26.68,479393.3
202311,2023Q4,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,208.199,208.199,38.818,429417.41
202312,2023Q4,2023,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,212.213,212.213,51.876,438420.82
202401,2024Q1,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,ims,NON-RETAIL,205.968,205.968,56.147,426220.01
202402,2024Q1,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,231.95,231.95,51.21,480779.88
202403,2024Q1,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,250.186,250.186,64.318,519434.34
202404,2024Q2,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,203.83,203.83,32.435,423890.85
202405,2024Q2,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,200.156,200.156,24.665,416936.91
202406,2024Q2,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,180.512,180.512,40.301,376639.07
202407,2024Q3,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,222.914,222.914,45.326,465878.22
202408,2024Q3,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,237.498,237.498,43.81,497178.65
202409,2024Q3,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,239.933,239.933,60.832,503104.03
202410,2024Q4,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,234.039,234.039,46.33,491557.43
202411,2024Q4,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,249.493,249.493,59.313,524881.11
202412,2024Q4,2024,4001,TX-ECO-001,5101,Retivue,OPH,N,IMS,NON-RETAIL,267.035,267.035,43.552,562713.75
202101,2021Q1,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,50.489,50.489,14.142,98453.82
202102,2021Q1,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,43.871,43.871,11.314,85688.88
202103,2021Q1,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,43.541,43.541,9.542,85185.49
202104,2021Q2,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,40.552,40.552,9.932,79469.64
202105,2021Q2,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,34.477,34.477,8.506,67676.3
202106,2021Q2,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,40.171,40.171,7.856,78982.64
202107,2021Q3,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,38.591,38.591,9.082,76000.53
202108,2021Q3,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,39.865,39.865,6.75,78639.45
202109,2021Q3,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.641,47.641,12.334,94134.8
202110,2021Q4,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,49.098,49.098,11.936,97174.42
202111,2021Q4,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.881,47.881,11.116,94922.42
202112,2021Q4,2021,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,48.124,48.124,12.387,95560.97
202201,2022Q1,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,55.655,55.655,10.292,110698.55
202202,2022Q1,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,ims,NON-RETAIL,47.438,47.438,9.77,94510.56
202203,2022Q1,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,50.634,50.634,6.77,101043.14
202204,2022Q2,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,52.769,52.769,12.117,105478.95
202205,2022Q2,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,46.22,46.22,10.058,92541.22
202206,2022Q2,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,45.028,45.028,14.576,90303.34
202207,2022Q3,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.996,47.996,9.153,96413.56
202208,2022Q3,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,43.706,43.706,10.86,87941.51
202209,2022Q3,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.404,47.404,7.644,95538.8
202210,2022Q4,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.891,47.891,7.87,96680.2
202211,2022Q4,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,40.934,40.934,8.8,82773.02
202212,2022Q4,2022,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,52.338,52.338,10.215,106006.69
202301,2023Q1,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,51.398,51.398,13.859,104274.33
202302,2023Q1,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,47.488,47.488,13.706,96502.47
202303,2023Q1,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,51.954,51.954,13.742,105751.68
202304,2023Q2,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,42.968,42.968,10.722,87604.59
202305,2023Q2,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,51.022,51.022,13.47,104198.4
202306,2023Q2,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,44.532,44.532,8.812,91094.25
202307,2023Q3,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,54.328,54.328,14.526,111315.6
202308,2023Q3,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,52.938,52.938,8.645,108646.5
202309,2023Q3,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,48.469,48.469,7.002,99639.42
202310,2023Q4,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,56.744,56.744,18.057,116842.62
202311,2023Q4,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,51.746,51.746,11.284,106728.42
202312,2023Q4,2023,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,52.598,52.598,12.147,108664.65
202401,2024Q1,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,59.296,59.296,11.851,122704.82
202402,2024Q1,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,55.556,55.556,11.282,115155.62
202403,2024Q1,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,59.936,59.936,16.162,124438.78
202404,2024Q2,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,46.479,46.479,11.084,96658.18
202405,2024Q2,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,51.838,51.838,11.093,107981.21
202406,2024Q2,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,ims,NON-RETAIL,53.164,53.164,15.893,110927.4
202407,2024Q3,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,55.895,55.895,15.527,116817.79
202408,2024Q3,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,61.272,61.272,10.622,128266.51
202409,2024Q3,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,55.006,55.006,7.389,115340.12
202410,2024Q4,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,57.543,57.543,14.334,120858.5
202411,2024Q4,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,66.652,66.652,9.972,140222.47
202412,2024Q4,2024,4002,NY-ECO-002,5101,Retivue,OPH,N,IMS,NON-RETAIL,54.847,54.847,12.38,115577.37
202101,2021Q1,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,ims,NON-RETAIL,115.028,115.028,23.689,224305.38
202102,2021Q1,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,102.23,102.23,21.776,199677.13
202103,2021Q1,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,86.428,86.428,25.007,169092.59
202104,2021Q2,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,89.198,89.198,21.232,174800.11
202105,2021Q2,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,74.918,74.918,9.934,147057.8
202106,2021Q2,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,75.129,75.129,14.141,147715.34
202107,2021Q3,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,78.902,78.902,22.513,155390.3
202108,2021Q3,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,ims,NON-RETAIL,81.996,81.996,13.514,161749.72
202109,2021Q3,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,92.311,92.311,23.32,182397.81
202110,2021Q4,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,103.838,103.838,16.563,205513.63
202111,2021Q4,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,100.277,100.277,16.916,198793.18
202112,2021Q4,2021,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.816,109.816,27.169,218063.26
202201,2022Q1,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,97.882,97.882,22.212,194687.88
202202,2022Q1,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,109.684,109.684,16.438,218521.42
202203,2022Q1,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,97.685,97.685,20.972,194937.16
202204,2022Q2,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,106.654,106.654,30.089,213187.0
202205,2022Q2,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,89.158,89.158,15.97,178509.28
202206,2022Q2,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,95.998,95.998,22.134,192522.15
202207,2022Q3,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,104.5,104.5,19.923,209919.4
202208,2022Q3,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,100.354,100.354,23.88,201923.44
202209,2022Q3,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,107.593,107.593,17.836,216846.59
202210,2022Q4,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,104.99,104.99,23.432,211949.37
202211,2022Q4,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,112.198,112.198,27.14,226874.08
202212,2022Q4,2022,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,103.397,103.397,20.261,209423.82
202301,2023Q1,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,110.18,110.18,30.879,223530.68
202302,2023Q1,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,116.692,116.692,15.496,237134.02
202303,2023Q1,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,112.166,112.166,19.767,228311.97
202304,2023Q2,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,98.056,98.056,26.906,199920.59
202305,2023Q2,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,87.993,87.993,19.817,179700.4
202306,2023Q2,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,106.095,106.095,28.505,217026.56
202307,2023Q3,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,96.168,96.168,19.454,197044.57
202308,2023Q3,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,100.692,100.692,16.636,206655.37
202309,2023Q3,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,92.933,92.933,18.927,191046.82
202310,2023Q4,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,128.356,128.356,33.492,264303.19
202311,2023Q4,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,116.614,116.614,32.508,240520.96
202312,2023Q4,2023,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,126.137,126.137,19.263,260592.69
202401,2024Q1,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,114.163,114.163,26.043,236244.36
202402,2024Q1,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,110.023,110.023,31.033,228052.32
202403,2024Q1,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,114.33,114.33,19.874,237370.8
202404,2024Q2,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,121.611,121.611,24.2,252906.04
202405,2024Q2,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,102.051,102.051,28.184,212577.64
202406,2024Q2,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,107.719,107.719,28.067,224755.96
202407,2024Q3,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,101.98,101.98,26.239,213132.99
202408,2024Q3,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,96.302,96.302,17.195,201599.35
202409,2024Q3,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,124.576,124.576,30.55,261218.54
202410,2024Q4,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,127.289,127.289,40.175,267346.49
202411,2024Q4,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,112.08,112.08,25.14,235792.74
202412,2024Q4,2024,4003,FL-ECO-003,5101,Retivue,OPH,N,IMS,NON-RETAIL,120.846,120.846,32.187,254654.73
202101,2021Q1,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,118.799,118.799,28.137,231658.99
202102,2021Q1,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,132.722,132.722,25.895,259235.28
202103,2021Q1,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,102.392,102.392,18.145,200325.26
202104,2021Q2,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,111.566,111.566,27.578,218633.03
202105,2021Q2,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,98.668,98.668,17.809,193677.36
202106,2021Q2,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,103.758,103.758,17.261,204005.42
202107,2021Q3,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,114.652,114.652,30.651,225795.74
202108,2021Q3,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,100.566,100.566,26.477,198381.76
202109,2021Q3,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,113.489,113.489,19.405,224243.54
202110,2021Q4,2021,4004,PA-ECO-004,5101,Retivue,OPH,N,DDD,NON-RETAIL,115.007,115.007,17.234,-227619.75
