date_year_month,ecosystem_id,product_brand_id,product_brand_name,rep_calls,samples_delivered,digital_impressions,speaker_programs,copay_redemptions,nba_suggestions,marketing_spend_usd
202206,4001,5101,Retivue,3,0,363.0,0,47,7,1376.7
202207,4001,5101,Retivue,3,0,471.0,1,29,9,5673.9
202208,4001,5101,Retivue,3,0,473.0,0,0,11,1475.7
202209,4001,5101,Retivue,7,0,889.0,0,28,10,3250.1
202210,4001,5101,Retivue,1,0,238.0,0,0,2,564.2
202211,4001,5101,Retivue,4,0,707.0,0,34,9,2036.3
202212,4001,5101,Retivue,4,0,457.0,0,16,10,1811.3
202301,4001,5101,Retivue,0,0,0.0,0,0,0,0.0
202302,4001,5101,Retivue,2,0,334.0,0,0,4,1000.6
202303,4001,5101,Retivue,2,0,148.0,0,56,2,833.2
202304,4001,5101,Retivue,1,0,201.0,0,1,5,530.9
202305,4001,5101,Retivue,6,0,1084.0,0,25,8,3075.6
202306,4001,5101,Retivue,3,0,256.0,0,51,5,1280.4
202307,4001,5101,Retivue,4,0,153.0,0,37,2,1537.7
202308,4001,5101,Retivue,2,0,202.0,0,24,5,881.8
202309,4001,5101,Retivue,3,0,258.0,0,38,11,1282.2
202310,4001,5101,Retivue,1,0,0.0,0,19,1,350.0
202311,4001,5101,Retivue,6,0,639.0,0,34,5,2675.1
202312,4001,5101,Retivue,3,0,475.0,0,17,5,1477.5
202401,4001,5101,Retivue,3,0,,1,4,3,5565.9
202402,4001,5101,Retivue,2,0,357.0,0,15,1,1021.3
202403,4001,5101,Retivue,5,0,935.0,0,54,8,2591.5
202404,4001,5101,Retivue,3,0,426.0,0,25,9,1433.4
202405,4001,5101,Retivue,2,0,163.0,0,3,3,846.7
202406,4001,5101,Retivue,2,0,0.0,0,7,3,700.0
202407,4001,5101,Retivue,2,0,439.0,0,41,5,1095.1
202408,4001,5101,Retivue,4,0,863.0,0,18,8,2176.7
202409,4001,5101,Retivue,3,0,399.0,0,0,5,1409.1
202410,4001,5101,Retivue,2,0,416.0,0,39,3,1074.4
202411,4001,5101,Retivue,2,0,,0,0,8,984.4
202412,4001,5101,Retivue,2,0,423.0,0,25,2,1080.7
202501,4001,5101,Retivue,1,0,192.0,0,0,1,522.8
202502,4001,5101,Retivue,3,0,156.0,0,55,4,1190.4
202503,4001,5101,Retivue,6,0,880.0,0,40,13,2892.0
202504,4001,5101,Retivue,3,0,189.0,0,2,5,1220.1
202505,4001,5101,Retivue,4,0,597.0,0,44,4,1937.3
202506,4001,5101,Retivue,4,0,535.0,0,17,8,1881.5
202101,4002,5101,Retivue,7,0,1107.0,0,91,10,3446.3
202102,4002,5101,Retivue,3,0,585.0,0,5,11,1576.5
202103,4002,5101,Retivue,10,0,992.0,0,106,25,4392.8
202104,4002,5101,Retivue,8,0,1198.0,0,71,12,3878.2
202105,4002,5101,Retivue,5,0,701.0,0,49,11,2380.9
202106,4002,5101,Retivue,3,0,170.0,0,75,4,1203.0
202107,4002,5101,Retivue,4,0,342.0,0,67,6,1707.8
202108,4002,5101,Retivue,3,0,125.0,0,0,8,1162.5
202109,4002,5101,Retivue,4,0,633.0,0,16,4,1969.7
202110,4002,5101,Retivue,9,0,1344.0,0,45,20,4359.6
202111,4002,5101,Retivue,7,0,845.0,0,21,12,3210.5
202112,4002,5101,Retivue,3,0,465.0,0,11,8,1468.5
202201,4002,5101,Retivue,3,0,398.0,0,0,4,1408.2
202202,4002,5101,Retivue,4,0,586.0,0,0,7,1927.4
202203,4002,5101,Retivue,3,0,437.0,0,14,5,1443.3
202204,4002,5101,Retivue,3,0,200.0,0,40,4,1230.0
202205,4002,5101,Retivue,8,0,555.0,0,70,20,3299.5
202206,4002,5101,Retivue,4,0,377.0,0,70,6,1739.3
202207,4002,5101,Retivue,8,0,1242.0,0,101,13,3917.8
202208,4002,5101,Retivue,3,0,441.0,0,27,6,1446.9
202209,4002,5101,Retivue,7,0,622.0,0,68,15,3009.8
202210,4002,5101,Retivue,4,0,471.0,0,22,6,1823.9
202211,4002,5101,Retivue,4,0,461.0,0,35,12,1814.9
202212,4002,5101,Retivue,6,0,603.0,0,53,12,2642.7
202301,4002,5101,Retivue,7,0,882.0,0,78,15,3243.8
202302,4002,5101,Retivue,3,0,304.0,0,51,8,1323.6
202303,4002,5101,Retivue,2,0,312.0,0,21,3,980.8
202304,4002,5101,Retivue,5,0,559.0,0,31,7,2253.1
202305,4002,5101,Retivue,1,0,155.0,0,28,3,489.5
202306,4002,5101,Retivue,10,0,395.0,0,59,19,3855.5
202307,4002,5101,Retivue,1,0,273.0,2,3,2,8995.7
202308,4002,5101,Retivue,5,0,316.0,1,5,10,6234.4
202309,4002,5101,Retivue,4,0,432.0,0,61,12,1788.8
202310,4002,5101,Retivue,7,0,927.0,0,24,10,3284.3
202311,4002,5101,Retivue,3,0,313.0,0,17,9,1331.7
202312,4002,5101,Retivue,3,0,65.0,0,29,1,1108.5
202401,4002,5101,Retivue,8,0,1035.0,1,40,13,7931.5
202402,4002,5101,Retivue,5,0,1.0,0,28,9,1750.9
202403,4002,5101,Retivue,8,0,753.0,0,62,17,3477.7
202404,4002,5101,Retivue,3,0,480.0,0,42,6,1482.0
202405,4002,5101,Retivue,4,0,568.0,0,42,3,1911.2
202406,4002,5101,Retivue,4,0,,0,12,5,1890.5
202407,4002,5101,Retivue,6,0,30.0,0,44,12,2127.0
202408,4002,5101,Retivue,6,0,1274.0,0,60,15,3246.6
202409,4002,5101,Retivue,3,0,523.0,1,21,7,5720.7
202410,4002,5101,Retivue,5,0,286.0,0,46,10,2007.4
202411,4002,5101,Retivue,7,0,1464.0,0,45,20,3767.6
202412,4002,5101,Retivue,4,0,408.0,0,41,8,1767.2
202501,4002,5101,Retivue,5,0,,0,47,11,2344.9
202502,4002,5101,Retivue,5,0,490.0,0,44,4,2191.0
202503,4002,5101,Retivue,7,0,,0,49,17,3260.0
202504,4002,5101,Retivue,8,0,783.0,0,35,12,3504.7
202505,4002,5101,Retivue,6,0,779.0,0,18,10,2801.1
202506,4002,5101,Retivue,3,0,368.0,0,57,4,1381.2
202101,4003,5101,Retivue,2,0,104.0,0,0,7,793.6
202102,4003,5101,Retivue,1,0,97.0,1,32,3,4637.3
202103,4003,5101,Retivue,1,0,62.0,0,36,1,405.8
202104,4003,5101,Retivue,2,0,372.0,0,37,3,1034.8
202105,4003,5101,Retivue,1,0,202.0,0,0,2,531.8
202106,4003,5101,Retivue,1,0,160.0,0,0,1,494.0
202107,4003,5101,Retivue,1,0,72.0,0,27,0,414.8
202108,4003,5101,Retivue,1,0,92.0,0,0,3,432.8
202109,4003,5101,Retivue,2,0,267.0,0,9,5,940.3
202110,4003,5101,Retivue,3,0,315.0,0,12,9,1333.5
202111,4003,5101,Retivue,3,0,538.0,0,59,1,1534.2
202112,4003,5101,Retivue,4,0,369.0,0,55,7,1732.1
202201,4003,5101,Retivue,3,0,614.0,0,14,6,1602.6
202202,4003,5101,Retivue,2,0,326.0,0,40,0,993.4
202203,4003,5101,Retivue,2,0,104.0,0,18,3,793.6
202204,4003,5101,Retivue,4,0,252.0,0,4,11,1626.8
202205,4003,5101,Retivue,1,0,133.0,0,0,1,469.7
202206,4003,5101,Retivue,1,0,187.0,0,17,2,518.3
202207,4003,5101,Retivue,2,0,54.0,0,0,3,748.6
202208,4003,5101,Retivue,4,0,290.0,0,47,7,1661.0
202209,4003,5101,Retivue,3,0,313.0,0,0,5,1331.7
202210,4003,5101,Retivue,5,0,941.0,0,57,10,2596.9
202211,4003,5101,Retivue,0,0,0.0,1,8,0,4200.0
202212,4003,5101,Retivue,3,0,423.0,0,59,9,1430.7
202301,4003,5101,Retivue,1,0,202.0,0,28,2,531.8
202302,4003,5101,Retivue,2,0,297.0,0,33,5,967.3
202303,4003,5101,Retivue,2,0,295.0,0,36,4,965.5
202304,4003,5101,Retivue,2,0,311.0,0,0,5,979.9
202305,4003,5101,Retivue,1,0,,0,19,1,466.1
202306,4003,5101,Retivue,1,0,152.0,0,33,0,486.8
202307,4003,5101,Retivue,2,0,199.0,0,0,9,879.1
202308,4003,5101,Retivue,5,0,733.0,0,42,15,2409.7
202309,4003,5101,Retivue,0,0,22.0,0,8,0,19.8
202310,4003,5101,Retivue,1,0,171.0,0,0,0,503.9
202311,4003,5101,Retivue,2,0,543.0,1,0,4,5388.7
202312,4003,5101,Retivue,5,0,1015.0,0,13,7,2663.5
202401,4003,5101,Retivue,1,0,0.0,0,0,0,350.0
202402,4003,5101,Retivue,0,0,0.0,0,1,0,0.0
202403,4003,5101,Retivue,2,0,449.0,0,3,3,1104.1
202404,4003,5101,Retivue,0,0,0.0,0,0,0,0.0
202405,4003,5101,Retivue,2,0,18.0,0,0,2,716.2
202406,4003,5101,Retivue,2,0,324.0,0,12,1,991.6
202407,4003,5101,Retivue,3,0,23.0,0,46,6,1070.7
202408,4003,5101,Retivue,0,0,0.0,0,0,0,0.0
202409,4003,5101,Retivue,3,0,596.0,0,17,4,1586.4
202410,4003,5101,Retivue,3,0,80.0,1,51,5,5322.0
202411,4003,5101,Retivue,3,0,320.0,0,27,3,1338.0
202412,4003,5101,Retivue,1,0,211.0,1,35,1,4739.9
202501,4003,5101,Retivue,2,0,153.0,0,30,4,837.7
202502,4003,5101,Retivue,2,0,168.0,0,6,9,851.2
202503,4003,5101,Retivue,0,0,0.0,0,11,0,0.0
202504,4003,5101,Retivue,3,0,544.0,0,0,5,1539.6
202505,4003,5101,Retivue,1,0,117.0,0,13,3,455.3
202506,4003,5101,Retivue,1,0,151.0,0,43,3,485.9
202101,4004,5101,Retivue,9,0,847.0,1,56,19,8112.3
202102,4004,5101,Retivue,8,0,820.0,0,68,14,3538.0
202103,4004,5101,Retivue,4,0,351.0,0,18,5,1715.9
202104,4004,5101,Retivue,7,0,738.0,0,19,17,3114.2
202105,4004,5101,Retivue,4,0,578.0,0,55,14,1920.2
202106,4004,5101,Retivue,5,0,750.0,0,27,10,2425.0
202107,4004,5101,Retivue,4,0,813.0,0,24,7,2131.7
202108,4004,5101,Retivue,2,0,164.0,0,0,4,847.6
202109,4004,5101,Retivue,2,0,208.0,0,37,5,887.2
202110,4004,5101,Retivue,5,0,530.0,1,47,6,6427.0
202111,4004,5101,Retivue,5,0,,0,49,12,2556.4
202112,4004,5101,Retivue,3,0,483.0,0,0,8,1484.7
202201,4004,5101,Retivue,1,0,,0,0,1,480.5
202202,4004,5101,Retivue,4,0,542.0,0,22,8,1887.8
202203,4004,5101,Retivue,4,0,403.0,0,64,10,1762.7
202204,4004,5101,Retivue,10,0,1669.0,0,91,24,5002.1
202205,4004,5101,Retivue,5,0,650.0,0,47,10,2335.0
202206,4004,5101,Retivue,3,0,181.0,1,14,4,5412.9
202207,4004,5101,Retivue,4,0,554.0,0,37,14,1898.6
202208,4004,5101,Retivue,1,0,237.0,0,4,0,563.3
202209,4004,5101,Retivue,3,0,626.0,0,33,4,1613.4
202210,4004,5101,Retivue,5,0,461.0,0,25,10,2164.9
202211,4004,5101,Retivue,5,0,910.0,0,45,16,2569.0
202212,4004,5101,Retivue,2,0,296.0,0,0,6,966.4
202301,4004,5101,Retivue,5,0,829.0,0,45,9,2496.1
202302,4004,5101,Retivue,6,0,375.0,0,37,11,2437.5
202303,4004,5101,Retivue,4,0,248.0,1,56,7,5823.2
202304,4004,5101,Retivue,6,0,1096.0,0,29,14,3086.4
202305,4004,5101,Retivue,3,0,413.0,0,45,5,1421.7
202306,4004,5101,Retivue,4,0,409.0,0,14,9,1768.1
202307,4004,5101,Retivue,4,0,748.0,0,47,8,2073.2
202308,4004,5101,Retivue,5,0,375.0,0,25,8,2087.5
202309,4004,5101,Retivue,2,0,355.0,0,0,3,1019.5
202310,4004,5101,Retivue,6,0,568.0,0,50,10,2611.2
202311,4004,5101,Retivue,4,0,523.0,0,34,5,1870.7
202312,4004,5101,Retivue,5,0,650.0,0,38,14,2335.0
202401,4004,5101,Retivue,6,0,760.0,0,59,11,2784.0
202402,4004,5101,Retivue,4,0,486.0,0,40,6,1837.4
202403,4004,5101,Retivue,5,0,784.0,0,34,17,2455.6
202404,4004,5101,Retivue,9,0,1342.0,0,74,21,4357.8
202405,4004,5101,Retivue,3,0,289.0,0,37,7,1310.1
202406,4004,5101,Retivue,2,0,263.0,1,12,3,5136.7
202407,4004,5101,Retivue,8,0,637.0,0,56,11,3373.3
202408,4004,5101,Retivue,4,0,480.0,0,4,6,1832.0
202409,4004,5101,Retivue,4,0,218.0,0,14,8,1596.2
202410,4004,5101,Retivue,3,0,,0,48,4,1272.3
202411,4004,5101,Retivue,3,0,159.0,1,27,5,5393.1
202412,4004,5101,Retivue,2,0,241.0,2,31,6,9316.9
202501,4004,5101,Retivue,4,0,526.0,0,59,8,1873.4
202502,4004,5101,Retivue,3,0,319.0,0,5,2,1337.1
202503,4004,5101,Retivue,2,0,322.0,0,15,4,989.8
202504,4004,5101,Retivue,4,0,368.0,0,48,8,1731.2
202505,4004,5101,Retivue,5,0,555.0,0,32,11,2249.5
202506,4004,5101,Retivue,8,0,1151.0,0,85,14,3835.9
202101,4005,5101,Retivue,13,0,1214.0,0,84,27,5642.6
202102,4005,5101,Retivue,7,0,978.0,0,74,17,3330.2
202103,4005,5101,Retivue,4,0,560.0,0,62,4,1904.0
202104,4005,5101,Retivue,3,0,333.0,0,51,7,1349.7
202105,4005,5101,Retivue,6,0,381.0,0,34,12,2442.9
202106,4005,5101,Retivue,7,0,1576.0,0,68,11,3868.4
202107,4005,5101,Retivue,5,0,224.0,0,38,12,1951.6
202108,4005,5101,Retivue,0,0,,0,0,0,5.4
202109,4005,5101,Retivue,4,0,600.0,0,40,7,1940.0
202110,4005,5101,Retivue,5,0,786.0,0,52,11,2457.4
202111,4005,5101,Retivue,0,0,0.0,0,0,1,0.0
202112,4005,5101,Retivue,2,0,184.0,0,17,4,865.6
202201,4005,5101,Retivue,1,0,120.0,0,0,4,458.0
202202,4005,5101,Retivue,3,0,334.0,0,37,4,1350.6
202203,4005,5101,Retivue,5,0,951.0,0,31,11,2605.9
202204,4005,5101,Retivue,5,0,830.0,0,23,13,2497.0
202205,4005,5101,Retivue,5,0,507.0,0,24,8,2206.3
202206,4005,5101,Retivue,5,0,885.0,0,33,9,2546.5
202207,4005,5101,Retivue,2,0,155.0,0,29,6,839.5
202208,4005,5101,Retivue,6,0,419.0,0,37,14,2477.1
202209,4005,5101,Retivue,5,0,864.0,0,15,14,2527.6
202210,4005,5101,Retivue,3,0,522.0,0,36,8,1519.8
202211,4005,5101,Retivue,6,0,480.0,0,45,14,2532.0
202212,4005,5101,Retivue,7,0,1038.0,0,48,12,3384.2
202301,4005,5101,Retivue,2,0,,0,0,5,891.7
202302,4005,5101,Retivue,5,0,884.0,0,43,8,2545.6
202303,4005,5101,Retivue,2,0,59.0,0,4,4,753.1
202304,4005,5101,Retivue,7,0,339.0,0,74,14,2755.1
202305,4005,5101,Retivue,4,0,323.0,0,48,7,1690.7
202306,4005,5101,Retivue,1,0,,0,0,2,376.1
202307,4005,5101,Retivue,5,0,,0,53,6,2381.8
202308,4005,5101,Retivue,0,0,0.0,0,0,0,0.0
202309,4005,5101,Retivue,3,0,296.0,0,31,4,1316.4
202310,4005,5101,Retivue,7,0,453.0,0,84,8,2857.7
202311,4005,5101,Retivue,6,0,647.0,0,78,6,2682.3
202312,4005,5101,Retivue,5,0,408.0,0,29,11,2117.2
202401,4005,5101,Retivue,7,0,531.0,0,0,15,2927.9
202402,4005,5101,Retivue,6,0,729.0,0,50,9,2756.1
202403,4005,5101,Retivue,1,0,102.0,0,0,1,441.8
202404,4005,5101,Retivue,5,0,563.0,0,17,10,2256.7
202405,4005,5101,Retivue,2,0,124.0,1,32,2,5011.6
202406,4005,5101,Retivue,4,0,647.0,0,48,7,1982.3
202407,4005,5101,Retivue,0,0,0.0,0,0,0,0.0
202408,4005,5101,Retivue,8,0,1237.0,0,64,16,3913.3
202409,4005,5101,Retivue,9,0,1083.0,1,47,18,8324.7
202410,4005,5101,Retivue,6,0,678.0,0,71,15,2710.2
202411,4005,5101,Retivue,1,0,52.0,0,24,2,396.8
202412,4005,5101,Retivue,8,0,788.0,1,63,26,7709.2
202501,4005,5101,Retivue,3,0,363.0,0,0,9,1376.7
202502,4005,5101,Retivue,4,0,511.0,0,56,11,1859.9
202503,4005,5101,Retivue,6,0,549.0,0,30,11,2594.1
202504,4005,5101,Retivue,3,0,350.0,0,10,3,1365.0
202505,4005,5101,Retivue,7,0,1119.0,0,27,13,3457.1
202506,4005,5101,Retivue,4,0,199.0,0,25,10,1579.1
202101,4006,5101,Retivue,6,0,921.0,0,15,10,2928.9
202102,4006,5101,Retivue,3,0,537.0,0,36,4,1533.3
202103,4006,5101,Retivue,3,0,648.0,0,48,10,1633.2
202104,4006,5101,Retivue,4,0,989.0,0,29,4,2290.1
202105,4006,5101,Retivue,3,0,236.0,1,28,5,5462.4
202106,4006,5101,Retivue,6,0,967.0,0,73,15,2970.3
202107,4006,5101,Retivue,4,0,460.0,0,39,6,1814.0
202108,4006,5101,Retivue,5,0,605.0,0,42,7,2294.5
202109,4006,5101,Retivue,2,0,327.0,0,56,2,994.3
202110,4006,5101,Retivue,2,0,244.0,0,25,4,919.6
202111,4006,5101,Retivue,4,0,504.0,0,28,7,1853.6
202112,4006,5101,Retivue,10,0,959.0,0,98,20,4363.1
202201,4006,5101,Retivue,6,0,890.0,0,35,9,2901.0
202202,4006,5101,Retivue,1,0,112.0,0,18,2,450.8
202203,4006,5101,Retivue,7,0,535.0,0,50,7,2931.5
202204,4006,5101,Retivue,2,0,376.0,0,0,3,1038.4
202205,4006,5101,Retivue,3,0,257.0,0,52,4,1281.3
202206,4006,5101,Retivue,4,0,668.0,0,57,9,2001.2
202207,4006,5101,Retivue,3,0,394.0,0,17,7,1404.6
202208,4006,5101,Retivue,5,0,563.0,0,70,9,2256.7
202209,4006,5101,Retivue,6,0,753.0,0,7,14,2777.7
202210,4006,5101,Retivue,6,0,1032.0,0,71,8,3028.8
202211,4006,5101,Retivue,2,0,133.0,0,42,4,819.7
202212,4006,5101,Retivue,3,0,422.0,0,16,5,1429.8
202301,4006,5101,Retivue,2,0,173.0,0,26,3,855.7
202302,4006,5101,Retivue,5,0,,0,0,6,2083.0
202303,4006,5101,Retivue,4,0,515.0,0,30,4,1863.5
202304,4006,5101,Retivue,6,0,588.0,0,68,12,2629.2
202305,4006,5101,Retivue,1,0,37.0,0,0,1,383.3
202306,4006,5101,Retivue,3,0,404.0,0,48,7,1413.6
202307,4006,5101,Retivue,3,0,378.0,0,9,7,1390.2
202308,4006,5101,Retivue,2,0,198.0,0,16,4,878.2
202309,4006,5101,Retivue,1,0,92.0,0,0,2,432.8
202310,4006,5101,Retivue,4,0,316.0,1,70,4,5884.4
202311,4006,5101,Retivue,11,0,1568.0,0,123,13,5261.2
202312,4006,5101,Retivue,2,0,272.0,0,34,5,944.8
202401,4006,5101,Retivue,1,0,117.0,0,22,0,455.3
202402,4006,5101,Retivue,3,0,254.0,0,1,4,1278.6
202403,4006,5101,Retivue,9,0,244.0,0,108,17,3369.6
202404,4006,5101,Retivue,2,0,194.0,0,32,5,874.6
202405,4006,5101,Retivue,6,0,592.0,0,41,16,2632.8
202406,4006,5101,Retivue,4,0,,1,31,9,6020.3
202407,4006,5101,Retivue,3,0,357.0,0,21,5,1371.3
202408,4006,5101,Retivue,2,0,239.0,0,13,8,915.1
202409,4006,5101,Retivue,2,0,190.0,0,4,10,871.0
202410,4006,5101,Retivue,3,0,285.0,0,15,9,1306.5
202411,4006,5101,Retivue,3,0,338.0,0,68,5,1354.2
202412,4006,5101,Retivue,2,0,42.0,0,0,3,737.8
202501,4006,5101,Retivue,3,0,597.0,0,0,9,1587.3
202502,4006,5101,Retivue,3,0,345.0,0,18,3,1360.5
202503,4006,5101,Retivue,2,0,243.0,1,36,6,5118.7
202504,4006,5101,Retivue,7,0,666.0,0,71,10,3049.4
202505,4006,5101,Retivue,1,0,72.0,0,6,1,414.8
202506,4006,5101,Retivue,6,0,934.0,0,41,15,2940.6
202101,4007,5101,Retivue,4,0,280.0,0,29,10,1652.0
202102,4007,5101,Retivue,5,0,593.0,0,51,10,2283.7
202103,4007,5101,Retivue,4,0,462.0,0,51,5,1815.8
202104,4007,5101,Retivue,2,0,172.0,0,33,3,854.8
202105,4007,5101,Retivue,1,0,86.0,0,6,1,427.4
202106,4007,5101,Retivue,3,0,494.0,0,44,5,1494.6
202107,4007,5101,Retivue,8,0,974.0,1,76,20,7876.6
202108,4007,5101,Retivue,3,0,437.0,1,31,6,5643.3
202109,4007,5101,Retivue,5,0,792.0,0,60,10,2462.8
202110,4007,5101,Retivue,2,0,333.0,0,18,3,999.7
202111,4007,5101,Retivue,6,0,,0,57,12,3099.0
202112,4007,5101,Retivue,8,0,192.0,0,65,18,2972.8
202201,4007,5101,Retivue,2,0,64.0,0,2,3,757.6
202202,4007,5101,Retivue,4,0,157.0,1,6,7,5741.3
202203,4007,5101,Retivue,4,0,700.0,0,33,8,2030.0
202204,4007,5101,Retivue,5,0,308.0,0,54,9,2027.2
202205,4007,5101,Retivue,8,0,1266.0,0,59,13,3939.4
202206,4007,5101,Retivue,6,0,434.0,0,13,8,2490.6
202207,4007,5101,Retivue,7,0,1244.0,0,41,13,3569.6
202208,4007,5101,Retivue,2,0,289.0,0,9,7,960.1
202209,4007,5101,Retivue,4,0,381.0,0,27,8,1742.9
202210,4007,5101,Retivue,4,0,194.0,0,61,10,1574.6
202211,4007,5101,Retivue,2,0,165.0,0,43,4,848.5
202212,4007,5101,Retivue,7,0,1718.0,0,65,7,3996.2
202301,4007,5101,Retivue,4,0,713.0,0,38,6,2041.7
202302,4007,5101,Retivue,6,0,207.0,0,62,7,2286.3
202303,4007,5101,Retivue,7,0,534.0,0,56,20,2930.6
202304,4007,5101,Retivue,3,0,353.0,0,17,8,1367.7
202305,4007,5101,Retivue,8,0,595.0,0,60,14,3335.5
202306,4007,5101,Retivue,5,0,913.0,0,38,12,2571.7
202307,4007,5101,Retivue,2,0,95.0,0,11,2,785.5
202308,4007,5101,Retivue,4,0,271.0,0,50,3,1643.9
202309,4007,5101,Retivue,0,0,43.0,0,21,0,38.7
202310,4007,5101,Retivue,6,0,696.0,0,76,14,2726.4
202311,4007,5101,Retivue,5,0,175.0,0,30,15,1907.5
202312,4007,5101,Retivue,6,0,660.0,0,23,9,2694.0
202401,4007,5101,Retivue,4,0,717.0,0,16,8,2045.3
202402,4007,5101,Retivue,3,0,467.0,0,37,5,1470.3
202403,4007,5101,Retivue,4,0,705.0,0,27,7,2034.5
202404,4007,5101,Retivue,11,0,2006.0,0,66,26,5655.4
202405,4007,5101,Retivue,3,0,562.0,0,30,5,1555.8
202406,4007,5101,Retivue,2,0,127.0,0,0,4,814.3
202407,4007,5101,Retivue,7,0,816.0,0,90,11,3184.4
202408,4007,5101,Retivue,3,0,391.0,1,0,10,5601.9
202409,4007,5101,Retivue,5,0,409.0,0,16,9,2118.1
