date_year_month,product_brand_id,product_brand_name,list_wac_per_unit,gross_to_net_ratio,effective_net_price_per_unit
202210,5102,Vabyseal,2267.22,0.7017,1590.88
202211,5102,Vabyseal,2270.97,0.6977,1584.46
202212,5102,Vabyseal,2274.72,0.6875,1563.9
202301,5102,Vabyseal,2278.48,0.6893,1570.63
202302,5102,Vabyseal,2282.24,0.6995,1596.36
202303,5102,Vabyseal,2286.01,0.7028,1606.56
202304,5102,Vabyseal,2289.78,0.7001,1603.11
202305,5102,Vabyseal,2293.57,0.6976,1600.04
202306,5102,Vabyseal,2297.35,0.7058,1621.56
202307,5102,Vabyseal,2301.15,0.6995,1609.67
202308,5102,Vabyseal,2304.95,0.7118,1640.77
202309,5102,Vabyseal,2308.76,0.6965,1608.07
202310,5102,Vabyseal,2312.57,0.7017,1622.61
202311,5102,Vabyseal,2316.39,0.7034,1629.45
202312,5102,Vabyseal,2320.21,0.7084,1643.72
202401,5102,Vabyseal,2324.05,0.7042,1636.68
202402,5102,Vabyseal,2327.88,0.7074,1646.73
202403,5102,Vabyseal,2331.73,0.6949,1620.36
202404,5102,Vabyseal,2335.58,0.7098,1657.88
202405,5102,Vabyseal,2339.44,0.7019,1642.12
202406,5102,Vabyseal,2343.3,0.6952,1628.99
202407,5102,Vabyseal,2347.17,0.6991,1640.92
202408,5102,Vabyseal,2351.05,0.7094,1667.88
202409,5102,Vabyseal,2354.93,0.7055,1661.3
202410,5102,Vabyseal,2358.82,0.707,1667.63
202411,5102,Vabyseal,2362.72,0.7022,1659.08
202412,5102,Vabyseal,2366.62,0.6938,1642.05
202501,5102,Vabyseal,2370.53,0.7009,1661.41
202502,5102,Vabyseal,2374.44,0.6927,1644.83
202503,5102,Vabyseal,2378.36,0.7089,1686.07
202504,5102,Vabyseal,2382.29,0.7048,1679.15
202505,5102,Vabyseal,2386.23,0.703,1677.52
202506,5102,Vabyseal,2390.17,0.7116,1700.83
202101,5103,Eylanta,2100.0,0.7162,1504.02
202102,5103,Eylanta,2103.47,0.7104,1494.26
202103,5103,Eylanta,2106.94,0.7186,1513.97
202104,5103,Eylanta,2110.42,0.7184,1516.21
202105,5103,Eylanta,2113.91,0.7157,1512.85
202106,5103,Eylanta,2117.4,0.7116,1506.68
202107,5103,Eylanta,2120.9,0.7104,1506.7
202108,5103,Eylanta,2124.4,0.709,1506.15
202109,5103,Eylanta,2127.91,0.7243,1541.3
202110,5103,Eylanta,2131.42,0.7079,1508.93
202111,5103,Eylanta,2134.94,0.7087,1513.14
202112,5103,Eylanta,2138.47,0.7037,1504.91
202201,5103,Eylanta,2142.0,0.7082,1516.91
202202,5103,Eylanta,2145.54,0.7172,1538.67
202203,5103,Eylanta,2149.08,0.7108,1527.58
202204,5103,Eylanta,2152.63,0.7041,1515.77
202205,5103,Eylanta,2156.19,0.7132,1537.85
202206,5103,Eylanta,2159.75,0.7081,1529.42
202207,5103,Eylanta,2163.31,0.7091,1533.99
202208,5103,Eylanta,2166.89,0.715,1549.25
202209,5103,Eylanta,2170.47,0.7181,1558.65
202210,5103,Eylanta,2174.05,0.7075,1538.06
202211,5103,Eylanta,2177.64,0.7105,1547.24
202212,5103,Eylanta,2181.24,0.7121,1553.36
202301,5103,Eylanta,2184.84,0.6962,1521.14
202302,5103,Eylanta,2188.45,0.7113,1556.66
202303,5103,Eylanta,2192.06,0.7142,1565.67
202304,5103,Eylanta,2195.68,0.7064,1551.04
202305,5103,Eylanta,2199.31,0.7165,1575.83
202306,5103,Eylanta,2202.94,0.7203,1586.74
202307,5103,Eylanta,2206.58,0.6994,1543.25
202308,5103,Eylanta,2210.22,0.7081,1565.04
202309,5103,Eylanta,2213.87,0.7103,1572.47
202310,5103,Eylanta,2217.53,0.714,1583.38
202311,5103,Eylanta,2221.19,0.7182,1595.27
202312,5103,Eylanta,2224.86,0.7059,1570.56
202401,5103,Eylanta,2228.54,0.7139,1590.92
202402,5103,Eylanta,2232.22,0.7157,1597.65
202403,5103,Eylanta,2235.9,0.7149,1598.41
202404,5103,Eylanta,2239.6,0.7048,1578.54
202405,5103,Eylanta,2243.3,0.7249,1626.06
202406,5103,Eylanta,2247.0,0.7133,1602.7
202407,5103,Eylanta,2250.71,0.7122,1602.94
202408,5103,Eylanta,2254.43,0.7068,1593.38
202409,5103,Eylanta,2258.15,0.7194,1624.42
202410,5103,Eylanta,2261.88,0.7125,1611.55
202411,5103,Eylanta,2265.62,0.7108,1610.5
202412,5103,Eylanta,2269.36,0.7077,1605.96
202501,5103,Eylanta,2273.11,0.7105,1614.98
202502,5103,Eylanta,2276.86,0.7013,1596.74
202503,5103,Eylanta,2280.62,0.7054,1608.77
202504,5103,Eylanta,2284.39,0.7031,1606.16
202505,5103,Eylanta,2288.16,0.7031,1608.76
202506,5103,Eylanta,2291.94,0.7186,1646.95
202101,5104,Bevagen,95.0,0.9029,85.77
202102,5104,Bevagen,95.16,0.8928,84.95
202103,5104,Bevagen,95.31,0.8995,85.73
202104,5104,Bevagen,95.47,0.9057,86.47
202105,5104,Bevagen,95.63,0.9021,86.26
202106,5104,Bevagen,95.79,0.9134,87.49
202107,5104,Bevagen,95.95,0.8987,86.23
202108,5104,Bevagen,96.1,0.8982,86.32
202109,5104,Bevagen,96.26,0.8817,84.88
202110,5104,Bevagen,96.42,0.9093,87.68
202111,5104,Bevagen,96.58,0.9152,88.39
202112,5104,Bevagen,96.74,0.8985,86.92
202201,5104,Bevagen,96.9,0.9047,87.67
202202,5104,Bevagen,97.06,0.9023,87.58
202203,5104,Bevagen,97.22,0.8899,86.52
202204,5104,Bevagen,97.38,0.8893,86.6
202205,5104,Bevagen,97.54,0.8923,87.04
202206,5104,Bevagen,97.7,0.8961,87.55
202207,5104,Bevagen,97.86,0.8936,87.45
202208,5104,Bevagen,98.03,0.9095,89.16
202209,5104,Bevagen,98.19,0.9123,89.58
202210,5104,Bevagen,98.35,0.9007,88.58
202211,5104,Bevagen,98.51,0.8988,88.54
202212,5104,Bevagen,98.68,0.8984,88.65
202301,5104,Bevagen,98.84,0.8948,88.44
202302,5104,Bevagen,99.0,0.8991,89.01
202303,5104,Bevagen,99.16,0.9039,89.64
202304,5104,Bevagen,99.33,0.9139,90.77
202305,5104,Bevagen,99.49,0.9048,90.02
202306,5104,Bevagen,99.66,0.9064,90.33
202307,5104,Bevagen,99.82,0.9165,91.49
202308,5104,Bevagen,99.99,0.9159,91.58
202309,5104,Bevagen,100.15,0.891,89.23
202310,5104,Bevagen,100.32,0.888,89.08
202311,5104,Bevagen,100.48,0.9143,91.87
202312,5104,Bevagen,100.65,0.8907,89.65
202401,5104,Bevagen,100.81,0.9012,90.86
202402,5104,Bevagen,100.98,0.9208,92.98
202403,5104,Bevagen,101.15,0.9051,91.55
202404,5104,Bevagen,101.32,0.9016,91.34
202405,5104,Bevagen,101.48,0.8896,90.28
202406,5104,Bevagen,101.65,0.9033,91.82
202407,5104,Bevagen,101.82,0.9146,93.12
202408,5104,Bevagen,101.99,0.9015,91.94
202409,5104,Bevagen,102.15,0.8911,91.03
202410,5104,Bevagen,102.32,0.8988,91.97
202411,5104,Bevagen,102.49,0.8816,90.36
202412,5104,Bevagen,102.66,0.9054,92.95
202501,5104,Bevagen,102.83,0.8986,92.41
202502,5104,Bevagen,103.0,0.8996,92.66
202503,5104,Bevagen,103.17,0.8898,91.81
202504,5104,Bevagen,103.34,0.9092,93.96
202505,5104,Bevagen,103.51,0.8767,90.75
202506,5104,Bevagen,103.68,0.8828,91.53
202101,5105,Ocretiva,3350.0,0.6773,2269.12
202102,5105,Ocretiva,3355.53,0.68,2281.77
202103,5105,Ocretiva,3361.07,0.6901,2319.5
202104,5105,Ocretiva,3366.63,0.6868,2312.36
202105,5105,Ocretiva,3372.19,0.6737,2271.77
202106,5105,Ocretiva,3377.76,0.6808,2299.7
202107,5105,Ocretiva,3383.33,0.6825,2309.26
202108,5105,Ocretiva,3388.92,0.6801,2304.89
202109,5105,Ocretiva,3394.52,0.6772,2298.81
202110,5105,Ocretiva,3400.13,0.6701,2278.32
202111,5105,Ocretiva,3405.74,0.6838,2328.72
202112,5105,Ocretiva,3411.37,0.683,2329.93
202201,5105,Ocretiva,3417.0,0.6796,2322.17
202202,5105,Ocretiva,3422.64,0.6849,2344.17
202203,5105,Ocretiva,3428.3,0.6931,2376.09
202204,5105,Ocretiva,3433.96,0.694,2383.2
202205,5105,Ocretiva,3439.63,0.6844,2354.06
202206,5105,Ocretiva,3445.31,0.6743,2323.31
202207,5105,Ocretiva,3451.0,0.6788,2342.67
202208,5105,Ocretiva,3456.7,0.6721,2323.28
202209,5105,Ocretiva,3462.41,0.6801,2354.62
202210,5105,Ocretiva,3468.13,0.6747,2339.78
202211,5105,Ocretiva,3473.86,0.6797,2361.29
202212,5105,Ocretiva,3479.59,0.676,2352.04
202301,5105,Ocretiva,3485.34,0.6892,2402.22
202302,5105,Ocretiva,3491.1,0.6799,2373.72
202303,5105,Ocretiva,3496.86,0.6735,2355.31
202304,5105,Ocretiva,3502.64,0.6886,2411.78
202305,5105,Ocretiva,3508.42,0.6731,2361.4
202306,5105,Ocretiva,3514.22,0.6707,2356.82
202307,5105,Ocretiva,3520.02,0.6779,2386.32
202308,5105,Ocretiva,3525.83,0.6769,2386.81
202309,5105,Ocretiva,3531.66,0.6761,2387.61
202310,5105,Ocretiva,3537.49,0.6834,2417.54
202311,5105,Ocretiva,3543.33,0.6733,2385.67
202312,5105,Ocretiva,3549.19,0.6792,2410.46
202401,5105,Ocretiva,3555.05,0.6773,2407.88
202402,5105,Ocretiva,3560.92,0.6894,2455.01
202403,5105,Ocretiva,3566.8,0.6853,2444.37
202404,5105,Ocretiva,3572.69,0.684,2443.67
202405,5105,Ocretiva,3578.59,0.6699,2397.45
202406,5105,Ocretiva,3584.5,0.6846,2453.85
202407,5105,Ocretiva,3590.42,0.6883,2471.16
202408,5105,Ocretiva,3596.35,0.6783,2439.51
202409,5105,Ocretiva,3602.29,0.6836,2462.44
202410,5105,Ocretiva,3608.24,0.6706,2419.54
202411,5105,Ocretiva,3614.2,0.6809,2460.93
202412,5105,Ocretiva,3620.17,0.686,2483.46
202501,5105,Ocretiva,3626.15,0.6811,2469.95
202502,5105,Ocretiva,3632.14,0.687,2495.45
202503,5105,Ocretiva,3638.14,0.6705,2439.27
202504,5105,Ocretiva,3644.14,0.6808,2480.82
202505,5105,Ocretiva,3650.16,0.684,2496.65
202506,5105,Ocretiva,3656.19,0.678,2478.95
202101,5106,Tysvia,3100.0,0.6999,2169.59
202102,5106,Tysvia,3105.12,0.6961,2161.46
202103,5106,Tysvia,3110.25,0.7061,2196.25
202104,5106,Tysvia,3115.39,0.6982,2175.14
202105,5106,Tysvia,3120.53,0.7049,2199.77
202106,5106,Tysvia,3125.68,0.6929,2165.84
202107,5106,Tysvia,3130.85,0.713,2232.35
202108,5106,Tysvia,3136.02,0.6975,2187.38
202109,5106,Tysvia,3141.2,0.6887,2163.44
202110,5106,Tysvia,3146.38,0.6965,2191.32
202111,5106,Tysvia,3151.58,0.6892,2172.1
202112,5106,Tysvia,3156.79,0.6996,2208.46
202201,5106,Tysvia,3162.0,0.7032,2223.59
202202,5106,Tysvia,3167.22,0.6932,2195.52
202203,5106,Tysvia,3172.45,0.7124,2260.05
202204,5106,Tysvia,3177.69,0.6888,2188.87
202205,5106,Tysvia,3182.94,0.6997,2227.03
202206,5106,Tysvia,3188.2,0.693,2209.46
202207,5106,Tysvia,3193.46,0.6933,2213.91
202208,5106,Tysvia,3198.74,0.6928,2216.15
202209,5106,Tysvia,3204.02,0.7071,2265.47
202210,5106,Tysvia,3209.31,0.6912,2218.14
202211,5106,Tysvia,3214.61,0.7066,2271.33
202212,5106,Tysvia,3219.92,0.6929,2231.1
202301,5106,Tysvia,3225.24,0.7145,2304.4
202302,5106,Tysvia,3230.57,0.7031,2271.29
202303,5106,Tysvia,3235.9,0.6886,2228.25
202304,5106,Tysvia,3241.25,0.7033,2279.55
202305,5106,Tysvia,3246.6,0.7023,2280.09
202306,5106,Tysvia,3251.96,0.7079,2302.1
202307,5106,Tysvia,3257.33,0.6962,2267.88
202308,5106,Tysvia,3262.71,0.7068,2305.99
202309,5106,Tysvia,3268.1,0.6949,2270.92
202310,5106,Tysvia,3273.5,0.6938,2271.04
202311,5106,Tysvia,3278.91,0.703,2304.95
202312,5106,Tysvia,3284.32,0.6932,2276.75
202401,5106,Tysvia,3289.74,0.7028,2311.88
202402,5106,Tysvia,3295.18,0.695,2290.11
202403,5106,Tysvia,3300.62,0.6987,2306.06
202404,5106,Tysvia,3306.07,0.6912,2285.24
202405,5106,Tysvia,3311.53,0.7069,2341.06
202406,5106,Tysvia,3317.0,0.7079,2348.2
202407,5106,Tysvia,3322.48,0.6916,2297.67
202408,5106,Tysvia,3327.97,0.6929,2306.03
202409,5106,Tysvia,3333.46,0.7082,2360.92
202410,5106,Tysvia,3338.97,0.7067,2359.55
202411,5106,Tysvia,3344.48,0.699,2337.78
202412,5106,Tysvia,3350.01,0.6939,2324.63
202501,5106,Tysvia,3355.54,0.6945,2330.27
202502,5106,Tysvia,3361.08,0.7044,2367.42
202503,5106,Tysvia,3366.63,0.709,2387.04
202504,5106,Tysvia,3372.19,0.7101,2394.73
202505,5106,Tysvia,3377.76,0.7143,2412.68
202506,5106,Tysvia,3383.34,0.7084,2396.92
202101,5107,Kesipra,280.0,0.7414,207.58
202102,5107,Kesipra,280.46,0.7251,203.35
202103,5107,Kesipra,280.93,0.7391,207.62
202104,5107,Kesipra,281.39,0.7401,208.24
202105,5107,Kesipra,281.85,0.738,208.0
202106,5107,Kesipra,282.32,0.748,211.18
202107,5107,Kesipra,282.79,0.7339,207.54
202108,5107,Kesipra,283.25,0.7487,212.07
202109,5107,Kesipra,283.72,0.735,208.53
202110,5107,Kesipra,284.19,0.7422,210.91
202111,5107,Kesipra,284.66,0.7498,213.43
202112,5107,Kesipra,285.13,0.7382,210.49
202201,5107,Kesipra,285.6,0.7272,207.68
202202,5107,Kesipra,286.07,0.7407,211.9
202203,5107,Kesipra,286.54,0.7376,211.35
202204,5107,Kesipra,287.02,0.7468,214.35
202205,5107,Kesipra,287.49,0.7508,215.85
202206,5107,Kesipra,287.97,0.7395,212.94
202207,5107,Kesipra,288.44,0.7561,218.09
202208,5107,Kesipra,288.92,0.7412,214.16
202209,5107,Kesipra,289.4,0.7334,212.25
202210,5107,Kesipra,289.87,0.7381,213.96
202211,5107,Kesipra,290.35,0.738,214.28
202212,5107,Kesipra,290.83,0.758,220.45
202301,5107,Kesipra,291.31,0.7314,213.06
202302,5107,Kesipra,291.79,0.7349,214.43
202303,5107,Kesipra,292.28,0.7382,215.76
202304,5107,Kesipra,292.76,0.7438,217.75
202305,5107,Kesipra,293.24,0.7409,217.27
202306,5107,Kesipra,293.73,0.7462,219.17
202307,5107,Kesipra,294.21,0.7332,215.7
202308,5107,Kesipra,294.7,0.7488,220.67
202309,5107,Kesipra,295.18,0.7366,217.44
202310,5107,Kesipra,295.67,0.7476,221.04
202311,5107,Kesipra,296.16,0.7423,219.84
202312,5107,Kesipra,296.65,0.7486,222.07
202401,5107,Kesipra,297.14,0.7325,217.66
202402,5107,Kesipra,297.63,0.7521,223.84
202403,5107,Kesipra,298.12,0.7352,219.17
202404,5107,Kesipra,298.61,0.7302,218.06
202405,5107,Kesipra,299.11,0.7443,222.63
202406,5107,Kesipra,299.6,0.7339,219.87
202407,5107,Kesipra,300.09,0.7379,221.45
202408,5107,Kesipra,300.59,0.7443,223.73
202409,5107,Kesipra,301.09,0.7369,221.88
202410,5107,Kesipra,301.58,0.7475,225.44
202411,5107,Kesipra,302.08,0.7435,224.6
202412,5107,Kesipra,302.58,0.7547,228.35
202501,5107,Kesipra,303.08,0.7394,224.11
202502,5107,Kesipra,303.58,0.7397,224.56
202503,5107,Kesipra,304.08,0.7594,230.91
202504,5107,Kesipra,304.59,0.7328,223.2
202505,5107,Kesipra,305.09,0.739,225.47
202506,5107,Kesipra,305.59,0.738,225.53
202101,5108,Gilenova,95.0,0.8498,80.73
202102,5108,Gilenova,95.16,0.8611,81.94
202103,5108,Gilenova,95.31,0.8402,80.08
202104,5108,Gilenova,95.47,0.8574,81.86
202105,5108,Gilenova,95.63,0.8646,82.68
202106,5108,Gilenova,95.79,0.8732,83.64
202107,5108,Gilenova,95.95,0.8435,80.93
202108,5108,Gilenova,96.1,0.8562,82.28
202109,5108,Gilenova,96.26,0.8648,83.25
202110,5108,Gilenova,96.42,0.8554,82.48
202111,5108,Gilenova,96.58,0.8553,82.61
202112,5108,Gilenova,96.74,0.8509,82.32
202201,5108,Gilenova,96.9,0.8657,83.88
202202,5108,Gilenova,97.06,0.8388,81.42
202203,5108,Gilenova,97.22,0.8513,82.77
202204,5108,Gilenova,97.38,0.8606,83.81
202205,5108,Gilenova,97.54,0.8495,82.86
202206,5108,Gilenova,97.7,0.8667,84.68
202207,5108,Gilenova,97.86,0.8408,82.28
202208,5108,Gilenova,98.03,0.8467,83.0
202209,5108,Gilenova,98.19,0.8514,83.6
202210,5108,Gilenova,98.35,0.8521,83.8
202211,5108,Gilenova,98.51,0.8589,84.61
202212,5108,Gilenova,98.68,0.836,82.49
202301,5108,Gilenova,98.84,0.8444,83.46
202302,5108,Gilenova,99.0,0.8494,84.1
202303,5108,Gilenova,99.16,0.8529,84.57
202304,5108,Gilenova,99.33,0.8507,84.5
202305,5108,Gilenova,99.49,0.8471,84.28
202306,5108,Gilenova,99.66,0.8532,85.03
202307,5108,Gilenova,99.82,0.8507,84.92
202308,5108,Gilenova,99.99,0.8565,85.64
202309,5108,Gilenova,100.15,0.8583,85.96
202310,5108,Gilenova,100.32,0.8519,85.46
202311,5108,Gilenova,100.48,0.8431,84.71
202312,5108,Gilenova,100.65,0.8416,84.71
202401,5108,Gilenova,100.81,0.8442,85.1
202402,5108,Gilenova,100.98,0.8502,85.85
202403,5108,Gilenova,101.15,0.8283,83.78
202404,5108,Gilenova,101.32,0.8579,86.92
202405,5108,Gilenova,101.48,0.848,86.06
202406,5108,Gilenova,101.65,0.843,85.69
202407,5108,Gilenova,101.82,0.8475,86.29
202408,5108,Gilenova,101.99,0.8622,87.93
202409,5108,Gilenova,102.15,0.8457,86.39
202410,5108,Gilenova,102.32,0.8434,86.3
202411,5108,Gilenova,102.49,0.8367,85.75
202412,5108,Gilenova,102.66,0.8491,87.17
202501,5108,Gilenova,102.83,0.85,87.41
202502,5108,Gilenova,103.0,0.8433,86.86
202503,5108,Gilenova,103.17,0.8644,89.18
202504,5108,Gilenova,103.34,0.8403,86.83
202505,5108,Gilenova,103.51,0.855,88.5
202506,5108,Gilenova,103.68,0.8515,88.29
202101,5109,Hemvia,8200.0,0.6658,5459.82
202102,5109,Hemvia,8213.54,0.6544,5375.31
202103,5109,Hemvia,8227.11,0.66,5430.17
202104,5109,Hemvia,8240.7,0.6702,5523.2
202105,5109,Hemvia,8254.31,0.6622,5465.73
202106,5109,Hemvia,8267.94,0.6626,5478.6
202107,5109,Hemvia,8281.59,0.6532,5409.87
202108,5109,Hemvia,8295.27,0.6696,5554.11
202109,5109,Hemvia,8308.97,0.6627,5506.52
202110,5109,Hemvia,8322.7,0.6559,5459.14
202111,5109,Hemvia,8336.44,0.6679,5568.12
202112,5109,Hemvia,8350.21,0.6598,5509.18
202201,5109,Hemvia,8364.0,0.6664,5573.69
202202,5109,Hemvia,8377.81,0.6612,5539.75
202203,5109,Hemvia,8391.65,0.6742,5657.42
202204,5109,Hemvia,8405.51,0.6618,5563.15
202205,5109,Hemvia,8419.39,0.6598,5555.43
202206,5109,Hemvia,8433.3,0.6522,5500.48
202207,5109,Hemvia,8447.23,0.6702,5661.06
202208,5109,Hemvia,8461.18,0.6434,5444.28
202209,5109,Hemvia,8475.15,0.6603,5596.08
202210,5109,Hemvia,8489.15,0.6762,5740.56
202211,5109,Hemvia,8503.17,0.6536,5557.61
202212,5109,Hemvia,8517.21,0.6662,5674.11
202301,5109,Hemvia,8531.28,0.6539,5578.66
202302,5109,Hemvia,8545.37,0.6529,5579.48
202303,5109,Hemvia,8559.48,0.6487,5552.62
202304,5109,Hemvia,8573.62,0.6628,5682.86
202305,5109,Hemvia,8587.78,0.662,5684.99
202306,5109,Hemvia,8601.96,0.6647,5717.72
202307,5109,Hemvia,8616.17,0.6536,5631.6
202308,5109,Hemvia,8630.4,0.6642,5732.54
202309,5109,Hemvia,8644.65,0.6543,5655.96
202310,5109,Hemvia,8658.93,0.6705,5805.55
202311,5109,Hemvia,8673.23,0.6547,5678.34
202312,5109,Hemvia,8687.56,0.662,5751.01
202401,5109,Hemvia,8701.91,0.6693,5824.16
202402,5109,Hemvia,8716.28,0.656,5718.22
202403,5109,Hemvia,8730.67,0.6628,5786.49
202404,5109,Hemvia,8745.09,0.6644,5810.59
202405,5109,Hemvia,8759.54,0.6551,5738.71
202406,5109,Hemvia,8774.0,0.6477,5683.11
202407,5109,Hemvia,8788.49,0.6755,5936.73
202408,5109,Hemvia,8803.01,0.6594,5804.83
202409,5109,Hemvia,8817.55,0.6633,5848.7
202410,5109,Hemvia,8832.11,0.6537,5773.46
202411,5109,Hemvia,8846.7,0.6651,5883.64
202412,5109,Hemvia,8861.31,0.6551,5804.92
202501,5109,Hemvia,8875.94,0.663,5884.96
202502,5109,Hemvia,8890.6,0.6612,5878.69
202503,5109,Hemvia,8905.29,0.6596,5874.3
202504,5109,Hemvia,8919.99,0.6465,5766.57
202505,5109,Hemvia,8934.73,0.6614,5909.59
202506,5109,Hemvia,8949.48,0.6468,5788.45
202101,5110,Factyra,2600.0,0.7198,1871.42
202102,5110,Factyra,2604.29,0.7193,1873.31
202103,5110,Factyra,2608.6,0.7213,1881.66
202104,5110,Factyra,2612.9,0.7358,1922.54
202105,5110,Factyra,2617.22,0.7157,1873.23
202106,5110,Factyra,2621.54,0.7281,1908.66
202107,5110,Factyra,2625.87,0.7206,1892.14
202108,5110,Factyra,2630.21,0.7308,1922.09
202109,5110,Factyra,2634.55,0.7287,1919.8
202110,5110,Factyra,2638.9,0.7306,1928.07
202111,5110,Factyra,2643.26,0.7182,1898.37
202112,5110,Factyra,2647.63,0.7213,1909.69
202201,5110,Factyra,2652.0,0.7185,1905.53
202202,5110,Factyra,2656.38,0.7139,1896.48
202203,5110,Factyra,2660.77,0.7269,1934.04
202204,5110,Factyra,2665.16,0.7221,1924.43
202205,5110,Factyra,2669.56,0.7199,1921.92
202206,5110,Factyra,2673.97,0.7282,1947.19
202207,5110,Factyra,2678.39,0.7211,1931.48
202208,5110,Factyra,2682.81,0.7231,1939.82
202209,5110,Factyra,2687.24,0.7191,1932.3
202210,5110,Factyra,2691.68,0.7043,1895.7
202211,5110,Factyra,2696.13,0.7277,1962.01
202212,5110,Factyra,2700.58,0.7217,1949.09
202301,5110,Factyra,2705.04,0.7096,1919.51
202302,5110,Factyra,2709.51,0.7194,1949.14
202303,5110,Factyra,2713.98,0.7198,1953.57
202304,5110,Factyra,2718.46,0.7137,1940.15
202305,5110,Factyra,2722.95,0.7231,1969.06
202306,5110,Factyra,2727.45,0.73,1991.11
202307,5110,Factyra,2731.96,0.7291,1991.99
202308,5110,Factyra,2736.47,0.7175,1963.37
202309,5110,Factyra,2740.99,0.7187,1969.97
202310,5110,Factyra,2745.51,0.7283,1999.56
202311,5110,Factyra,2750.05,0.7245,1992.31
202312,5110,Factyra,2754.59,0.7132,1964.55
202401,5110,Factyra,2759.14,0.7217,1991.2
202402,5110,Factyra,2763.7,0.7287,2013.79
202403,5110,Factyra,2768.26,0.725,2006.94
202404,5110,Factyra,2772.83,0.7435,2061.7
202405,5110,Factyra,2777.41,0.7013,1947.87
